binomial,EQ_residual,EQ_z,BMR_z,lon_z,maha,p_fdr,outlier
Myotis lucifugus,-0.39468481972200764,-1.4076023378438627,-1.111447198637929,3.385660437206276,38.33967817437743,6.706274642643348e-7,TRUE
Lycaon pictus,0.08832227335909774,0.2540200587457215,1.66149479319952,-0.8082250508427343,8.839859485763814,0.2620145216823163,FALSE
Homo sapiens,0.8511674081889034,2.87833050743257,0.7039,2.4277,8.737930309165678,0.2620145216823163,FALSE
Desmodus rotundus,0.010883629920802185,-0.012381379539120371,-1.0297839320051831,2.0783103644289134,8.458341884834965,0.2620145216823163,FALSE
Antilocapra americana,-0.09400838755354096,-0.37322685770183567,0.35575161615302614,-0.9097223860240982,6.2207893684348186,0.5675529821018994,FALSE
Hydrochoerus hydrochaeris,-0.30474559178421645,-1.0981968702758844,-0.2566766444780761,-0.9141945772860022,5.6144585089455985,0.5885196869512149,FALSE
Urocitellus parryii,-0.49248522988868787,-1.7440515417095206,-0.85,0.42,5.361993660377375,0.5885196869512149,FALSE
Enhydra lutris,-0.047184567235540584,-0.21214535465812928,1.6757951819327517,0.6800799052644075,4.701242647580573,0.6825948482471136,FALSE
Mus musculus,-0.2565995663153412,-0.9325667680023715,1.1609287359866771,0.41690951962111195,3.727551574491695,0.835559823595458,FALSE
Erinaceus europaeus,-0.4146332990167873,-1.476228327915076,-0.05728406287612919,0.5938372540183512,3.6778768573918352,0.835559823595458,FALSE
Dasypus novemcinctus,-0.2878367532646797,-1.0400277353152492,-0.7882329194168763,0.20110897331267696,3.1686052971516023,0.8582907156497357,FALSE
Saimiri sciureus,0.44056798048069884,1.4658021721763115,1.1586131812981213,1.6238608598940223,3.0255530365232706,0.8582907156497357,FALSE
Callithrix jacchus,0.15215747151224998,0.4736234485539138,-0.6130358373297885,1.17990384752833,2.9252407428330494,0.8582907156497357,FALSE
Marmota marmota,0.05262476644939228,0.1312148705129725,-0.5325315856437693,0.4753962388509301,2.7214844012373383,0.8582907156497357,FALSE
Pan troglodytes,0.4479029670194459,1.4910357103293808,0.43635247300068014,1.602544149841191,2.46133155252542,0.8582907156497357,FALSE
Vulpes vulpes,0.1813826526942358,0.5741627911267191,0.7011442748225608,0.1397772912606983,2.259042431502148,0.8582907156497357,FALSE
Vulpes lagopus,0.2075267264351356,0.6641026265623741,0.5617276005589077,0.23091054474710404,2.2554711741774094,0.8582907156497357,FALSE
Canis lupus,0.07921153891697875,0.2226776610557915,1.3421684395512146,0.6087488968577396,1.8865389866933182,0.8932428608571525,FALSE
Mustela putorius,-0.1007106851223359,-0.3962838436311242,1.0669484889905008,0.5242139025705875,1.6831634826030215,0.8932428608571525,FALSE
Panthera tigris,-0.11090574710221583,-0.43135650314907226,0.9283103643407937,-0.07040100507763405,1.4670018974255539,0.8932428608571525,FALSE
Macaca mulatta,0.32489114042469636,1.0678551627904902,0.3806039846594061,1.4076453735327767,1.3636675214793639,0.8932428608571525,FALSE
Ursus americanus,0.024067166498641768,0.03297211517719395,1.1439317250574543,0.35134210926064663,1.2978646951247905,0.8932428608571525,FALSE
Canis latrans,0.19585994853357563,0.6239670266199251,0.5115228007579509,0.441663162353672,1.2806406140849906,0.8932428608571525,FALSE
Panthera leo,-0.10830936130408617,-0.42242451673694936,0.8816766303395679,0.14004802577905737,1.0101508966526818,0.9319283844126176,FALSE
Meles meles,-0.10943900388662266,-0.42631066963650677,0.3263711623194603,-0.01843706528580466,0.8257153543429118,0.9379561919467202,FALSE
Colobus guereza,0.17983510618761678,0.5688389812448416,0.3977713171064507,0.6784652597084628,0.6088982519755082,0.9379561919467202,FALSE
Ursus arctos,-0.04510846066305595,-0.2050032127973512,0.05676494145492852,0.866716206900783,0.44520577264561273,0.9379561919467202,FALSE
Ursus maritimus,-0.06423372585344375,-0.2707972134161522,0.6557566484871834,0.25284128207833445,0.41102258321399987,0.9379561919467202,FALSE
