binomial,EQ_residual,EQ_z,temp_mean_C,temp_source,BMR_z,lon_z,maha,p_fdr,outlier
Homo sapiens,0.8511674081889034,2.654488332895948,-5,manual_glacial_niche,0.7039,2.4277,23.2861868755475,0.0025529949237615606,TRUE
Hydrochoerus hydrochaeris,-0.30474559178421645,-1.2020874008441194,23.730000000000004,PanTHERIA,-0.2566766444780761,-0.9141945772860022,14.37163436128065,0.07128516051633936,FALSE
Lycaon pictus,0.08832227335909774,0.10934000801794043,23.555000000000003,PanTHERIA,1.66149479319952,-0.8082250508427343,11.595586668863016,0.15813386508464125,FALSE
Antilocapra americana,-0.09400838755354096,-0.4989860532071024,9.076,PanTHERIA,0.35575161615302614,-0.9097223860240982,9.211801282970882,0.2823824741986934,FALSE
Desmodus rotundus,0.010883629920802185,-0.14902545127252956,21.633000000000003,PanTHERIA,-1.0297839320051831,2.0783103644289134,8.988503006903938,0.2823824741986934,FALSE
Urocitellus parryii,-0.49248522988868787,-1.8284599155504024,-10.36,PanTHERIA,-0.85,0.42,7.659072275412935,0.4021014071048351,FALSE
Saimiri sciureus,0.44056798048069884,1.284568806751814,25.303,PanTHERIA,1.1586131812981213,1.6238608598940223,5.701452870681931,0.6634350162230087,FALSE
Dasypus novemcinctus,-0.2878367532646797,-1.1456729333870606,22.509,PanTHERIA,-0.7882329194168763,0.20110897331267696,5.541784536807054,0.6634350162230087,FALSE
Erinaceus europaeus,-0.4146332990167873,-1.568715568499748,6.039000000000001,PanTHERIA,-0.05728406287612919,0.5938372540183512,5.28159296105707,0.6634350162230087,FALSE
Vulpes lagopus,0.2075267264351356,0.5070524665658542,-9.038,PanTHERIA,0.5617276005589077,0.23091054474710404,4.686405380613303,0.6873410490373559,FALSE
Panthera tigris,-0.11090574710221583,-0.5553622223489114,21.151,PanTHERIA,0.9283103643407937,-0.07040100507763405,3.89755900636767,0.6873410490373559,FALSE
Panthera leo,-0.10830936130408617,-0.5466996686232184,23.438000000000002,PanTHERIA,0.8816766303395679,0.14004802577905737,3.856935303532005,0.6873410490373559,FALSE
Canis lupus,0.07921153891697875,0.07894305135524782,0.48200000000000004,PanTHERIA,1.3421684395512146,0.6087488968577396,3.6850681548925692,0.6873410490373559,FALSE
Pan troglodytes,0.4479029670194459,1.3090411771579775,24.168000000000003,PanTHERIA,0.43635247300068014,1.602544149841191,3.665320913187485,0.6873410490373559,FALSE
Mustela putorius,-0.1007106851223359,-0.5213475269207128,6.388000000000001,PanTHERIA,1.0669484889905008,0.5242139025705875,3.375712228524761,0.6873410490373559,FALSE
Callithrix jacchus,0.15215747151224998,0.3223190783819389,24.992,PanTHERIA,-0.6130358373297885,1.17990384752833,3.1711691521965326,0.6873410490373559,FALSE
Ursus arctos,-0.04510846066305595,-0.3358368616746139,-4.656000000000001,PanTHERIA,0.05676494145492852,0.866716206900783,3.146305039602301,0.6873410490373559,FALSE
Marmota marmota,0.05262476644939228,-0.009760771111795045,4.667000000000001,PanTHERIA,-0.5325315856437693,0.4753962388509301,3.120178522221551,0.6873410490373559,FALSE
Macaca mulatta,0.32489114042469636,0.8986258384435724,16.880000000000003,PanTHERIA,0.3806039846594061,1.4076453735327767,2.196208319948439,0.8127046138131929,FALSE
Ursus americanus,0.024067166498641768,-0.10504004125278496,0.389,PanTHERIA,1.1439317250574543,0.35134210926064663,2.158140712175339,0.8127046138131929,FALSE
Vulpes vulpes,0.1813826526942358,0.41982565938174116,3.4320000000000004,PanTHERIA,0.7011442748225608,0.1397772912606983,1.884543815636516,0.8290774062052946,FALSE
Colobus guereza,0.17983510618761678,0.41466244181744355,23.164,PanTHERIA,0.3977713171064507,0.6784652597084628,1.1341969689630524,0.9069525631804123,FALSE
Canis latrans,0.19585994853357563,0.468127553923521,5.8180000000000005,PanTHERIA,0.5115228007579509,0.441663162353672,1.0186657772317531,0.9069525631804123,FALSE
