binomial,BM_kg,BMR_W,MaxLon_yr,BMR_residual,lon_residual,BMR_z,lon_z,PES,source
Phoca vitulina,27.4,73.29,47.6,0.3657,0.328,2.0713,1.202,3.2733,AnAge
Carollia perspicillata,0.0149,0.24,17.0,0.2393,0.4905,1.3557,1.7978,3.1535,AnAge
Enhydra lutris,26.8328,98.479,27.0,0.5005,0.0834,2.8352,0.3057,3.141,AnAge
Homo sapiens,70.0,82.78,122.5,0.1243,0.6624,0.7039,2.4277,3.1316,AnAge
Miniopterus schreibersii,0.0109,0.145,22.0,0.1186,0.6279,0.6717,2.3011,2.9727,AnAge
Saimiri sciureus,0.8367,4.429,30.2,0.2416,0.4134,1.3684,1.5149,2.8834,AnAge
Phocoena phocoena,28.5,107.675,20.4,0.5204,-0.0432,2.9477,-0.1583,2.7894,AnAge
Microcebus murinus,0.069,0.7026,18.2,0.2249,0.3958,1.2739,1.4507,2.7246,AnAge
Phoca largha,98.8792,200.1238,35.51,0.3993,0.0966,2.2616,0.3541,2.6157,AnAge
Sorex araneus,0.0084,0.348,3.2,0.5805,-0.1883,3.2883,-0.69,2.5983,AnAge
Mustela nivalis,0.0785,1.1423,9.1,0.3957,0.0844,2.2415,0.3093,2.5508,AnAge
Elephas maximus,3672.0,2336.5,79.6,0.3324,0.154,1.883,0.5643,2.4473,AnAge
Glossophaga soricina,0.0096,0.164,11.0,0.2119,0.3371,1.2003,1.2356,2.4359,AnAge
Myotis lucifugus,0.0058,0.051,34.0,-0.1373,0.8681,-0.7775,3.1815,2.404,AnAge
Histriophoca fasciata,54.0,118.59,31.0,0.3618,0.0867,2.0494,0.3177,2.3672,AnAge
Mustela erminea,0.1255,1.276,12.5,0.2964,0.1842,1.6788,0.6749,2.3537,AnAge
Plecotus auritus,0.0102,0.082,30.0,-0.1081,0.768,-0.6126,2.8145,2.2019,AnAge
Desmodus rotundus,0.0294,0.194,29.2,-0.0663,0.6703,-0.3756,2.4567,2.0812,AnAge
Lynx rufus,9.4,23.446,32.3,0.2064,0.2463,1.169,0.9028,2.0718,AnAge
Felis silvestris,4.5731,17.7774,19.0,0.3122,0.0743,1.7686,0.2724,2.0411,AnAge
Lycaon pictus,8.75,33.01,17.0,0.3774,-0.0266,2.1379,-0.0975,2.0404,AnAge
Platyrrhinus lineatus,0.0219,0.25,13.0,0.1362,0.3428,0.7717,1.2563,2.028,AnAge
Cercopithecus mitis,8.6487,19.276,37.8,0.1475,0.3214,0.8352,1.1779,2.0131,AnAge
Leptonychotes weddellii,400.0,634.8541,25.0,0.4622,-0.1692,2.6177,-0.6199,1.9978,AnAge
Artibeus jamaicensis,0.0461,0.359,19.2,0.0599,0.4518,0.339,1.6557,1.9947,AnAge
Saguinus geoffroyi,0.225,1.305,20.5,0.123,0.3516,0.6966,1.2887,1.9853,AnAge
Sciurus carolinensis,0.44,2.062,23.6,0.1112,0.3584,0.63,1.3135,1.9435,AnAge
Pteropus vampyrus,1.0243,4.486,20.9,0.1837,0.2371,1.0404,0.8689,1.9093,AnAge
Pan troglodytes,45.0,50.247,68.0,0.0461,0.4426,0.261,1.6222,1.8832,AnAge
Echinops telfairi,0.1164,0.75,19.0,0.0892,0.3721,0.5053,1.3637,1.869,AnAge
Sorex cinereus,0.0052,0.238,1.92,0.566,-0.372,3.206,-1.3632,1.8428,AnAge
Pteropus giganteus,0.5622,1.622,44.0,-0.0699,0.6091,-0.396,2.2321,1.8361,AnAge
Cystophora cristata,278.8968,351.6788,35.0,0.3188,0.0062,1.8056,0.0228,1.8284,AnAge
Sturnira lilium,0.0214,0.237,12.0,0.1203,0.3099,0.6814,1.1358,1.8171,AnAge
Cervus elaphus,67.0,112.43,31.5,0.271,0.0761,1.5349,0.2791,1.8139,AnAge
Phyllostomus hastatus,0.0842,0.559,18.0,0.0632,0.3749,0.3578,1.3739,1.7317,AnAge
