pos	3pG>A
1	0.0128737189802659
2	0.0021301775147929
3	0.00243501897049663
4	0.00231889902707063
5	0.00232018561484919
6	0.00206726163464932
7	0.00237992211163998
8	0.0016690269067368
9	0.00230354431705146
10	0.00215290642367196
11	0.00204173098949256
12	0.00173871045641149
13	0.0016404516066776
14	0.00211091920936481
15	0.00204439252336449
16	0.00173594367827177
17	0.00182176267848351
18	0.00187598736176935
19	0.00201444504495652
20	0.00220275099123795
21	0.00139128766071771
22	0.00114810562571757
23	0.00151845876435418
24	0.00162523900573614
25	0.00173193495622053
