pos	5pC>T
1	0.0424221241644458
2	0.0228852838933951
3	0.00888024357239513
4	0.00880273862979594
5	0.0080425585389352
6	0.00842992623814542
7	0.00711423665058468
8	0.00627327181479683
9	0.00704845814977974
10	0.00674184357317709
11	0.00714199735184368
12	0.0073898550142576
13	0.00634094789041541
14	0.00777870216306156
15	0.00817630945463601
16	0.00637393767705382
17	0.00704955421936554
18	0.00686367185894538
19	0.00739211232707
20	0.0065459667730041
21	0.0069665118552921
22	0.00715725391797952
23	0.00625874989706003
24	0.00721795727636849
25	0.00740368929602209
