"","Position","C.T","G.A"
"1",1,0.977227230157874,0.687346094129502
"2",2,0.951172169774192,0.667882988976073
"3",3,0.914390491035172,0.61621213313742
"4",4,0.881128832369603,0.561788514289618
"5",5,0.860201648939462,0.531604372913868
"6",6,0.849582348327965,0.521066362125455
"7",7,0.84394948706146,0.526273065196044
"8",8,0.841409267858148,0.530122174462548
"9",9,0.842496024443733,0.512543287378558
"10",10,0.842052827859601,0.513631228640206
"11",11,0.839130528671369,0.538196047817373
"12",12,0.835483114159186,0.565338316930418
"13",-12,0.837047411903099,0.554073753106684
"14",-11,0.834284189809454,0.573830468276473
"15",-10,0.832963192001557,0.583194129041466
"16",-9,0.83382186305502,0.580104284230897
"17",-8,0.835890563835581,0.572541141408097
"18",-7,0.838589227114835,0.569499292622358
"19",-6,0.844158523676111,0.568673223040991
"20",-5,0.856096615002374,0.572319947300613
"21",-4,0.879345710301155,0.58434729248132
"22",-3,0.913716720594584,0.62914642745477
"23",-2,0.949047358859283,0.741050621890812
"24",-1,0.974382586192961,0.875851025694395
