"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.00557087110055,0.00729383882594649,0.234565690568136,0.609496498387716,1.11609898231584,-3207.36722079562
"Std.",0.000101794084733932,0.000165391782256929,0.0111687658082585,0.0130990632265409,0.0233776522496669,1.56807159009842
"Acceptance ratio",0.19956,0.17536,0.1699,0.19912,0.2176,0.6532
"0%",0.00519507786072225,0.00656273621699474,0.196924870499104,0.551851220878989,1.02712554953833,-3219.60960618079
"2.5%",0.00537377763874356,0.00697175113744965,0.213841068267058,0.584238274142602,1.07241690839148,-3211.21358199925
"5%",0.00540409299005451,0.0070260926322352,0.216926420764982,0.588460713526299,1.07869461464374,-3210.3366058143
"7.5%",0.0054251765494847,0.00705847633931221,0.219077346466418,0.59100139075376,1.08308249918041,-3209.83783838353
"10%",0.00544079810566934,0.0070835959131451,0.220709018390859,0.592620327622875,1.08624712925632,-3209.4612344918
"12.5%",0.00545456070730306,0.00710600386090131,0.221967148614173,0.594344308654549,1.08910223256263,-3209.12481610622
"15%",0.00546567583744093,0.00712743233783253,0.223165716471034,0.595883341255527,1.09148131610469,-3208.87592390177
"17.5%",0.00547562694644029,0.00714180301119445,0.224288213173616,0.59715212299714,1.09376206307992,-3208.65188905864
"20%",0.00548509547229919,0.00715513037432274,0.225101635260236,0.598447652899603,1.09583823162036,-3208.47171019644
"22.5%",0.00549314605928875,0.00716929543243799,0.226053469570894,0.599588214356285,1.09773403706864,-3208.30464886716
"25%",0.00550216143947059,0.00718136139543986,0.226934263840738,0.600567962925775,1.09957682075574,-3208.1489589749
"27.5%",0.00550964461620624,0.00719394617225184,0.227758749057342,0.601611692523128,1.10151684719252,-3208.00813760073
"30%",0.00551720256587432,0.00720633125670714,0.228550597566081,0.602552804403906,1.10324778488462,-3207.87281842107
"32.5%",0.00552393581327828,0.00721924015269771,0.229226734044927,0.603498761397081,1.10486943322538,-3207.74771147561
"35%",0.00552991840442897,0.00722829227143286,0.229901578167744,0.604453766627031,1.1064915678196,-3207.63424511319
"37.5%",0.00553695064899928,0.00723975601704243,0.230575597538537,0.605315233926655,1.10806143909057,-3207.52750824311
"40%",0.00554310606474195,0.00724993093223946,0.231222222381495,0.606234383031908,1.10966242566948,-3207.42797515081
"42.5%",0.00554906238590782,0.00725922909328149,0.232039587612641,0.607111809622392,1.11096982712014,-3207.33252606283
"45%",0.00555672879472458,0.0072699289486712,0.232656760778738,0.607859266351786,1.11256754533187,-3207.24379477256
"47.5%",0.00556383797795222,0.00728033557967801,0.233218582923974,0.608530220946179,1.11417315872634,-3207.15448029655
"50%",0.00556988491838119,0.00729150123928763,0.233899386307607,0.609343860180551,1.11564918159023,-3207.06171503646
"52.5%",0.00557746299559137,0.00730297969092863,0.234610520475044,0.61012906948998,1.11735639741121,-3206.97374383061
"55%",0.00558420913445173,0.00731198508482289,0.235272359126046,0.610897085089001,1.11885334312911,-3206.89206934309
"57.5%",0.00559070800297684,0.00732176054878942,0.236051119367496,0.611799379490017,1.12029130206914,-3206.80900548028
"60%",0.00559708062784979,0.00733134516662829,0.236813511701265,0.612638993604646,1.12176435615502,-3206.7254883557
"62.5%",0.00560395558200896,0.0073432136185708,0.23770516429626,0.61353288575943,1.12342915778258,-3206.64334452964
"65%",0.00561047481841476,0.0073558892881387,0.238583818708979,0.614446315345425,1.12534086129907,-3206.56038883034
"67.5%",0.00561755279914994,0.00736714508374966,0.239337337289511,0.615356459946967,1.12684332019555,-3206.47359914915
"70%",0.00562482760445125,0.00738191324076076,0.240172333677487,0.616325322862336,1.12854373101259,-3206.38670439005
"72.5%",0.00563231401583661,0.0073931170043805,0.241135786739323,0.617291448882947,1.13031628437393,-3206.30515232314
"75%",0.00564044324969943,0.00740540993752398,0.242095682525739,0.618356230977191,1.13182288013789,-3206.21638348009
"77.5%",0.00564924738971525,0.00742071540506123,0.243112772456113,0.619495774627168,1.13369475471204,-3206.13273998429
"80%",0.00565995813961301,0.00743202910523269,0.24412279837043,0.620747613166495,1.13562894077879,-3206.05161644707
"82.5%",0.0056682375238229,0.00744851192169159,0.245296827584757,0.621848533791785,1.13795707256554,-3205.9676370251
"85%",0.00567783363604531,0.00746553035302581,0.246457623991469,0.623286665179702,1.1405376389007,-3205.88584883176
"87.5%",0.00568812837160182,0.00748468494619121,0.247872057774544,0.624875097004045,1.14309962331845,-3205.7909520423
"90%",0.00570031277489298,0.00750584186163404,0.249273911065534,0.626476098743019,1.14625774511144,-3205.69173161861
"92.5%",0.00571595591848344,0.00753437756330426,0.250936035712373,0.628573972258458,1.14947304992825,-3205.58174936581
"95%",0.00573766333902553,0.00756790535838173,0.253733129052569,0.631136946914715,1.1546934680038,-3205.46353198432
"97.5%",0.00576880599895346,0.00762546993620736,0.256982781508809,0.635253185318325,1.16298059469839,-3205.30510074584
"100%",0.00596318843865436,0.0079355362745856,0.283124422203753,0.65952441626078,1.21085608442233,-3204.91979886834
