# table produced by mapDamage version 2.2.1
# using mapped file results/bam_hg38/femurXIII.hg38.sorted.bam and /data/ref/hg38.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	44	1989
+	35	2600
+	39	2469
+	69	695
+	50	1807
+	42	2684
+	31	75
+	53	1428
+	36	2499
+	38	2443
+	43	2288
+	51	1585
+	41	2588
+	60	1035
+	62	1037
+	49	1729
+	82	413
+	59	1061
+	37	2479
+	75	542
+	56	1117
+	76	468
+	57	1084
+	54	1238
+	40	2542
+	63	939
+	47	1792
+	79	465
+	52	1560
+	86	294
+	66	792
+	45	1915
+	64	835
+	67	731
+	46	1916
+	30	28
+	84	341
+	48	1751
+	77	449
+	72	663
+	88	262
+	58	1053
+	71	643
+	74	568
+	80	388
+	65	791
+	89	212
+	85	296
+	33	187
+	73	602
+	81	414
+	61	987
+	34	457
+	70	640
+	55	1154
+	78	471
+	68	664
+	83	403
+	87	246
+	32	112
+	90	6
+	91	1
+	92	1
-	89	197
-	60	990
-	51	1597
-	37	2464
-	50	1896
-	44	1995
-	39	2484
-	57	1074
-	38	2419
-	58	1129
-	43	2204
-	35	2604
-	41	2611
-	48	1708
-	67	735
-	36	2485
-	40	2579
-	45	1914
-	47	1747
-	34	473
-	76	432
-	84	351
-	55	1176
-	33	172
-	49	1785
-	69	699
-	46	1780
-	78	405
-	42	2585
-	62	1007
-	68	803
-	59	1092
-	64	902
-	52	1480
-	56	1090
-	85	338
-	75	471
-	72	698
-	61	1040
-	74	506
-	87	270
-	82	405
-	53	1455
-	80	377
-	54	1202
-	65	790
-	73	622
-	66	796
-	81	418
-	88	243
-	70	657
-	63	927
-	86	303
-	79	406
-	77	458
-	71	637
-	83	411
-	30	30
-	32	109
-	90	3
-	31	68
-	93	1
-	91	1
