pos	3pG>A
1	0.0120111177288068
2	0.00170225183600019
3	0.00169793014230272
4	0.00134875240402628
5	0.00113364714000542
6	0.00128259940145361
7	0.00120998500670753
8	0.00243374797187669
9	0.00143043245038187
10	0.00114673181432916
11	0.00117720726361929
12	0.00129818254443779
13	0.00116281946609268
14	0.00116909606487239
15	0.00115740740740741
16	0.00138615857654116
17	0.00134702383978041
18	0.0011029503922994
19	0.000951760757401192
20	0.00113005700509781
21	0.000950546564274458
22	0.00117714829563954
23	0.00117750219215834
24	0.00126309532654729
25	0.00104727707959306
