pos	5pC>T
1	0.188183373416309
2	0.0788894997251237
3	0.0322481861867521
4	0.0234464259102876
5	0.0152832737009217
6	0.0156023572601681
7	0.0121285483717839
8	0.010228223204684
9	0.0098889286993909
10	0.00797165633303809
11	0.00763728657129672
12	0.0073304540679351
13	0.00767695013547559
14	0.00743635287152161
15	0.00797676024477939
16	0.00747721972447287
17	0.00741641627319121
18	0.00651902981497459
19	0.00758332144724956
20	0.00686041867349576
21	0.00676445457134719
22	0.00676480396360345
23	0.00701034860985264
24	0.00605959395949138
25	0.00707581227436823
