"","Position","C.T","G.A"
"1",1,0.995453832270657,0.645871136264851
"2",2,0.990451147068422,0.697426066029555
"3",3,0.981249176684769,0.660144831047689
"4",4,0.967137618288323,0.600502614159256
"5",5,0.950472038379581,0.548673758265886
"6",6,0.935798253079651,0.519506642058397
"7",7,0.925567900476605,0.518872678819515
"8",8,0.919200118936812,0.539022860746576
"9",9,0.915111248853794,0.570449823732467
"10",10,0.91243978964639,0.598329836152732
"11",11,0.910999346113807,0.613160614193969
"12",12,0.909753158603916,0.629568844111656
"13",-12,0.91049380478827,0.616599772015732
"14",-11,0.911419435074406,0.605052769885071
"15",-10,0.91203019076585,0.606696321840331
"16",-9,0.912918409906869,0.618822467638595
"17",-8,0.915985523364522,0.621344837407578
"18",-7,0.923387070476709,0.593386808708873
"19",-6,0.934923448077087,0.563267916854411
"20",-5,0.950322374059911,0.560686138966753
"21",-4,0.967184224328516,0.593512650813387
"22",-3,0.981202866668716,0.674615404735071
"23",-2,0.990262877827114,0.812083363920623
"24",-1,0.995224862460628,0.924967425032479
