"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.00385829886012731,0.00928644350485011,0.741256638708369,0.54888094716778,0.713680832901664,-3407.87763042359
"Std.",6.62914474151947e-05,0.000155299913556232,0.0105526979410301,0.00398878520489871,0.0149625908403748,1.64305293695695
"Acceptance ratio",0.15464,0.15996,0.1638,0.24708,0.16418,0.62608
"0%",0.00356675534411403,0.00865387236600969,0.702351562882876,0.534268677245323,0.66173650960846,-3419.02297778545
"2.5%",0.0037273594843918,0.00897611939025884,0.720605433331991,0.541111612077397,0.685172727419264,-3411.98387266227
"5%",0.00374865720414274,0.00903397861097183,0.724117156781597,0.542260514413978,0.689639923996069,-3411.04080579352
"7.5%",0.00376356537226342,0.00906593905854043,0.72603194664811,0.543182061083226,0.692685519414004,-3410.50478457294
"10%",0.00377535373427021,0.00908978353145933,0.727683968315662,0.5438149286269,0.694995994152967,-3410.06279450109
"12.5%",0.00378364380465268,0.00910977367624546,0.729037586213315,0.544335552911135,0.696864880586337,-3409.75557356772
"15%",0.00379031428627638,0.00912515183956323,0.730298768170123,0.544776699978068,0.698171545600578,-3409.48938399845
"17.5%",0.00379712428844529,0.0091429126573979,0.731226163602661,0.545171423525818,0.69960985681668,-3409.26423519187
"20%",0.00380239099451313,0.00915643647137312,0.732351158533412,0.545509478877269,0.700863718576813,-3409.05753394446
"22.5%",0.00380862471319957,0.0091708766765107,0.73331829137709,0.545869123950481,0.702204907193466,-3408.87952551466
"25%",0.00381437216251478,0.00918276330548687,0.734240079117052,0.546223330138882,0.703309700044403,-3408.70650281951
"27.5%",0.00381901428340835,0.00919523024956663,0.735188235608182,0.54654108058987,0.704669360454538,-3408.55351571932
"30%",0.00382308450944646,0.009207113986859,0.735879942824678,0.546819284641094,0.705873551380224,-3408.41601599247
"32.5%",0.00382724255222529,0.00921822320335943,0.736457230091647,0.547141037077232,0.706776596327386,-3408.27981760623
"35%",0.00383176225285077,0.00922854835143446,0.737105811538169,0.547373714189427,0.707894864015047,-3408.16120592136
"37.5%",0.00383663699329987,0.00923762153141463,0.737860411044089,0.547606392363134,0.708821386927497,-3408.03914644964
"40%",0.00384092396299064,0.00924689231082777,0.738467005259227,0.547859684967993,0.709677748230751,-3407.92947478784
"42.5%",0.00384544414727751,0.0092580150588057,0.739280432123258,0.548115887205995,0.710388659980048,-3407.82293200002
"45%",0.00384950731555364,0.00926559618917464,0.740089084478009,0.548340076673717,0.711280509930748,-3407.7275556841
"47.5%",0.00385421478444408,0.00927581826783462,0.740703134821957,0.548587030404901,0.712396845591499,-3407.63239030232
"50%",0.00385835450615402,0.00928510787344606,0.7413352478577,0.548826388358299,0.713356293361138,-3407.53784991919
"52.5%",0.00386327097212952,0.0092944453553368,0.742015954809111,0.549054070972422,0.714348323690735,-3407.44436340683
"55%",0.00386749448748546,0.00930343131290956,0.742629848405354,0.549331596398625,0.715460417655829,-3407.34566427584
"57.5%",0.00387210518181876,0.00931280956869028,0.743148339914196,0.549582139381299,0.716212456020164,-3407.26397250655
"60%",0.00387624306110135,0.00932466156161148,0.743677975988992,0.549834966035656,0.717182787495001,-3407.18137785439
"62.5%",0.00388049817557958,0.00933411449066091,0.744275925276213,0.55012301915084,0.718190983038274,-3407.0909506128
"65%",0.00388452143091979,0.00934450961214144,0.744946715455511,0.550412300753974,0.719137914956863,-3407.00421908795
"67.5%",0.00388961487546314,0.00935535058849745,0.74574307807753,0.550691447562313,0.720237693640446,-3406.92383673434
"70%",0.00389414016420909,0.00936863301418414,0.746408468927104,0.550980401897869,0.721210684190902,-3406.84115713992
"72.5%",0.00389854081106875,0.0093780454702548,0.747308826483161,0.551274725860011,0.722460112390152,-3406.76097231633
"75%",0.0039025365702551,0.00939050271456496,0.748172105812587,0.551603296554224,0.723521201803247,-3406.67220380994
"77.5%",0.00390737764870423,0.00940262042854801,0.749151378920051,0.551907246656577,0.724730593625998,-3406.58481038796
"80%",0.00391247520945903,0.00941522008469159,0.750171546093969,0.552233997702861,0.726146967677709,-3406.49806801286
"82.5%",0.00391924266528644,0.00943140214766545,0.751210290229318,0.552607312996952,0.727592145856334,-3406.41507333166
"85%",0.0039253679181357,0.00944671092313411,0.752088960584886,0.552991669270031,0.728974709880948,-3406.32642813851
"87.5%",0.00393269785300837,0.00946344901718152,0.753454082701993,0.55340468467511,0.730813135514522,-3406.2315106541
"90%",0.00394005243333775,0.00948164758947998,0.754731312428325,0.553921743842536,0.732730235749333,-3406.1237629993
"92.5%",0.00395302688675823,0.00950999738251433,0.756242880067637,0.554641632655748,0.735179104904996,-3406.01349504673
"95%",0.00396799445742084,0.00954056881068037,0.758745265381645,0.555514568490788,0.738814279808989,-3405.88964936324
"97.5%",0.00398660877025909,0.00959667308914764,0.762146191855404,0.556698121530343,0.744039533125057,-3405.73411791998
"100%",0.00410831874413391,0.00990202531321201,0.782092716514434,0.565596920305617,0.78027722624094,-3405.33978908984
