# table produced by mapDamage version 2.2.1
# using mapped file results/bam_hg38/femur_fragment.hg38.sorted.bam and /data/ref/hg38.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	36	7713
+	42	4267
+	65	859
+	38	6393
+	33	695
+	82	446
+	64	935
+	39	5859
+	44	3337
+	35	8458
+	76	526
+	60	1162
+	56	1428
+	41	4840
+	66	858
+	48	2279
+	52	1870
+	67	815
+	43	3728
+	31	210
+	34	1290
+	50	2047
+	69	714
+	47	2497
+	61	1116
+	46	2759
+	54	1584
+	55	1458
+	53	1649
+	75	604
+	45	3031
+	37	7060
+	89	240
+	40	5245
+	70	691
+	57	1335
+	80	478
+	72	722
+	51	1955
+	49	2320
+	81	466
+	59	1244
+	63	998
+	71	703
+	79	464
+	86	354
+	78	509
+	73	643
+	62	1157
+	83	395
+	58	1194
+	68	779
+	30	105
+	84	371
+	74	582
+	77	477
+	88	285
+	85	347
+	87	310
+	32	419
+	90	7
+	92	1
+	91	1
-	36	7815
-	70	709
-	69	828
-	41	4826
-	34	1320
-	84	383
-	37	6992
-	51	2004
-	40	5370
-	53	1646
-	57	1300
-	45	2991
-	35	8323
-	38	6446
-	39	5672
-	68	823
-	74	582
-	67	830
-	42	4184
-	46	2819
-	58	1171
-	59	1194
-	65	925
-	48	2460
-	61	1106
-	81	442
-	55	1422
-	63	986
-	44	3300
-	79	442
-	43	3766
-	54	1495
-	52	1854
-	60	1150
-	66	859
-	47	2587
-	76	547
-	72	697
-	33	725
-	75	560
-	56	1467
-	85	336
-	86	357
-	71	750
-	80	454
-	64	927
-	89	233
-	50	2124
-	62	1054
-	73	690
-	49	2232
-	78	498
-	32	376
-	83	424
-	30	102
-	82	471
-	77	551
-	31	213
-	88	315
-	87	331
-	92	1
-	90	9
-	91	2
-	94	1
