pos	3pG>A
1	0.0142097075702315
2	0.00131169769052777
3	0.00146056925224401
4	0.0012151715460257
5	0.00118095174730959
6	0.00103404978211094
7	0.00100988489023921
8	0.00109537782539518
9	0.00132377090385067
10	0.00121525512201488
11	0.00112908372401267
12	0.00132833509901394
13	0.00130673047867171
14	0.00145103375907921
15	0.00102640740984037
16	0.00117217918767163
17	0.00123851279383716
18	0.00101651009132195
19	0.00119369072708114
20	0.00105347401430765
21	0.00123201261580919
22	0.0012223434538996
23	0.00127296020367363
24	0.000980424196869179
25	0.00119873558027834
