pos	5pC>T
1	0.108383050328897
2	0.0333399752919141
3	0.0151968550137887
4	0.0107502582644628
5	0.00806582229276667
6	0.00924521961494644
7	0.0082201925450506
8	0.00725788533857788
9	0.00779089599443626
10	0.00792535364707643
11	0.00893341682321019
12	0.0099753325110837
13	0.0105705766073642
14	0.0114653854553396
15	0.0122889792367281
16	0.0122012705455279
17	0.0119871686645281
18	0.0116031715335525
19	0.0128654578392069
20	0.0131771473482663
21	0.0122340247853826
22	0.0121432200354802
23	0.0117595855269215
24	0.0117056577345717
25	0.011885358942855
