"","Position","C.T","G.A"
"1",1,0.993176960635682,0.83624590851602
"2",2,0.981560828178087,0.780128561609454
"3",3,0.960438317562118,0.683395169629766
"4",4,0.937606620499449,0.61518030174399
"5",5,0.922862935851064,0.598276449337742
"6",6,0.915744507138265,0.609035863397847
"7",7,0.912509556197121,0.62464031540491
"8",8,0.911206545031793,0.632914809408588
"9",9,0.911297922734111,0.626586758047895
"10",10,0.91204159489608,0.61117895206539
"11",11,0.913127584274629,0.58792077504972
"12",12,0.914352706755573,0.557828747627451
"13",-12,0.913532090937884,0.578400161435375
"14",-11,0.913365123053728,0.582513431225202
"15",-10,0.913262796731461,0.585487275425775
"16",-9,0.913601371851679,0.579598203261012
"17",-8,0.914693724967774,0.558633650344392
"18",-7,0.916341831921633,0.533296920817135
"19",-6,0.918987459852466,0.520300071282845
"20",-5,0.925123269200701,0.523705552463958
"21",-4,0.939191814105873,0.541815189063462
"22",-3,0.96124436388524,0.620487076760943
"23",-2,0.981481933238513,0.790716573443719
"24",-1,0.992751985266999,0.931807795033089
