"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.00367353733468592,0.00898961347621919,0.655212654491836,0.67670699916554,1.32056575831769,-33136.6695828966
"Std.",3.6031799204228e-05,7.38306394002771e-05,0.0089771182780304,0.00326074140616166,0.0145958072060218,1.59144801437167
"Acceptance ratio",0.13834,0.16964,0.2422,0.197,0.25634,0.67714
"0%",0.00354764475046864,0.00870049811470359,0.622917088009466,0.66334442726432,1.26635638968252,-33148.9448884985
"2.5%",0.00359993363915625,0.00884500765089293,0.637553247230326,0.670187770759715,1.29285026182572,-33140.6556860375
"5%",0.0036131783107751,0.00887001949007692,0.64018562710416,0.671310390784941,1.29728458969881,-33139.705394091
"7.5%",0.00362056476882217,0.00888455610093648,0.642182379889816,0.671937539964534,1.29983973705347,-33139.1767458773
"10%",0.00362725272055405,0.00889638728879812,0.643860592088824,0.672489001307225,1.302052912899,-33138.7841941764
"12.5%",0.00363213521288777,0.00890544351319033,0.645042163608373,0.672938187188475,1.30392942981151,-33138.4791259676
"15%",0.00363590636403477,0.00891274517041215,0.646167493575045,0.673384235331645,1.30555391502149,-33138.237861131
"17.5%",0.00364011049802552,0.0089199293389325,0.647019109539025,0.673725405789805,1.30692438835419,-33138.0040321351
"20%",0.0036436344813315,0.00892801725022687,0.647865528747324,0.674022591950974,1.30840160097678,-33137.8084485202
"22.5%",0.00364680293206438,0.00893523423284293,0.648617864521244,0.674324379679466,1.30959780039575,-33137.6338960888
"25%",0.00364979040621102,0.00894099481874139,0.649342529464186,0.67461247619752,1.31068606743605,-33137.472077115
"27.5%",0.00365217944851573,0.00894542835452658,0.649916273079155,0.674851796111517,1.31181748405146,-33137.32270934
"30%",0.00365492952175488,0.00895059057653877,0.650520472132056,0.675085907648051,1.31268993880237,-33137.1966103174
"32.5%",0.00365755191291517,0.00895511725727285,0.651138021178658,0.675312440577381,1.31362730397278,-33137.0625775851
"35%",0.00366002046310533,0.00896026786783695,0.651765646687857,0.675559230878189,1.31457767460962,-33136.936663203
"37.5%",0.00366212190946428,0.00896567047131856,0.65243864334814,0.675784851751613,1.31556870116255,-33136.821425862
"40%",0.00366447451345193,0.00897002605210436,0.652973193148473,0.675971156479663,1.31648883280847,-33136.7103289355
"42.5%",0.00366683195552197,0.00897529058246749,0.653621230461837,0.676185480731695,1.3174066067513,-33136.6115754911
"45%",0.00366899301813037,0.00898001977195862,0.654163720418289,0.676371747742957,1.31846873755329,-33136.5145173711
"47.5%",0.00367145804582088,0.00898536472999742,0.654672439820331,0.676547668669073,1.31919889202324,-33136.4221845966
"50%",0.00367385970772861,0.00898991190040559,0.655253190772502,0.676747483427507,1.32009309100756,-33136.3364738363
"52.5%",0.00367657878202242,0.00899429409524981,0.655765939041448,0.676924991019631,1.32105790336515,-33136.2466727901
"55%",0.00367866930425784,0.00899932694015389,0.65624740940624,0.677110497244574,1.32201914718938,-33136.1637539639
"57.5%",0.0036808811787686,0.00900424188956757,0.656850368078645,0.677275271845054,1.3229364969563,-33136.0808768426
"60%",0.00368318027249558,0.0090087051452483,0.657466976779134,0.677498519743902,1.32389788951329,-33135.9962084959
"62.5%",0.00368573061819238,0.00901308395357861,0.657980451896915,0.677697818485552,1.32480733394028,-33135.9216918901
"65%",0.00368791030899262,0.00901867916825237,0.65857912606583,0.677917469735828,1.32580739748429,-33135.837524901
"67.5%",0.00368988504441898,0.00902326558993047,0.659135672182537,0.678142399520328,1.32687353448382,-33135.7615100062
"70%",0.00369274352835851,0.00902850829452905,0.659726692567493,0.678343195922388,1.32796780753403,-33135.6790289004
"72.5%",0.003695180070917,0.00903418921586488,0.660334961212374,0.678613309519608,1.32919533770558,-33135.5951033804
"75%",0.00369806322566796,0.00903984847155238,0.660982469640671,0.678846073233107,1.3303490346027,-33135.514380738
"77.5%",0.00370069094745327,0.00904516379301835,0.661672755758018,0.679112989034332,1.33166291489032,-33135.4338580084
"80%",0.00370400576176904,0.00905276171511184,0.662488716984934,0.679381505185907,1.33295604236372,-33135.3426848953
"82.5%",0.0037071360693394,0.00906036325821005,0.66338949225528,0.679654776432093,1.33429936487826,-33135.2581447359
"85%",0.00371019973679756,0.0090676471638858,0.664369562930834,0.680034674671915,1.33576852001283,-33135.1709224349
"87.5%",0.00371436717945454,0.00907557519900141,0.665477492814488,0.680436670762964,1.33754246572824,-33135.0780035803
"90%",0.00371934046893544,0.00908466584720117,0.666602177421617,0.680881317168871,1.33961941125325,-33134.9769680464
"92.5%",0.00372489199188107,0.00909340483485173,0.668151667099598,0.68130407596567,1.34202350988153,-33134.8582499154
"95%",0.0037318196421237,0.00910888239773372,0.670042277958157,0.681940303519362,1.34539170085689,-33134.7392883901
"97.5%",0.00374407971845143,0.00913294749683088,0.6730792539113,0.682954281142271,1.3506664048485,-33134.5838697306
"100%",0.00379377962767099,0.00926056834924782,0.689717605353785,0.68879256067553,1.37479430378529,-33134.1808354544
