# table produced by mapDamage version 2.2.1
# using mapped file results/bam_hg38/incisor.hg38.sorted.bam and /data/ref/hg38.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	35	20663
+	66	2979
+	41	13322
+	134	122
+	77	1810
+	46	8946
+	48	7598
+	72	2218
+	99	383
+	50	6862
+	53	5662
+	71	2433
+	49	7268
+	80	1566
+	73	2184
+	47	8275
+	38	16483
+	61	3998
+	40	14526
+	33	1464
+	87	1095
+	36	19449
+	56	4778
+	43	11248
+	67	2838
+	83	1441
+	74	2049
+	44	10324
+	64	3334
+	42	12437
+	54	5490
+	37	18101
+	63	3414
+	62	3703
+	81	1545
+	97	419
+	58	4335
+	39	15276
+	57	4537
+	88	1035
+	92	538
+	79	1558
+	65	3126
+	75	1948
+	55	5135
+	70	2474
+	60	3903
+	30	193
+	45	9684
+	112	263
+	98	411
+	100	414
+	59	4113
+	89	1015
+	68	2679
+	96	431
+	32	875
+	51	6377
+	52	6261
+	137	120
+	95	504
+	84	1351
+	128	149
+	103	357
+	34	3165
+	102	352
+	130	150
+	105	326
+	135	120
+	69	2538
+	86	1212
+	94	484
+	123	170
+	141	92
+	76	1953
+	93	477
+	114	235
+	31	474
+	91	545
+	78	1652
+	90	622
+	119	209
+	85	1277
+	101	377
+	104	334
+	106	349
+	121	179
+	111	239
+	133	123
+	117	196
+	107	286
+	82	1398
+	109	266
+	108	285
+	110	280
+	127	150
+	115	253
+	140	97
+	132	140
+	113	238
+	125	141
+	138	123
+	116	220
+	136	130
+	122	184
+	120	197
+	129	143
+	139	133
+	118	190
+	124	179
+	126	151
+	131	147
+	142	4
-	74	2048
-	49	7182
-	51	6528
-	88	1124
-	60	4053
-	35	21044
-	39	15259
-	50	6962
-	42	12478
-	61	3855
-	33	1498
-	37	17849
-	70	2494
-	82	1402
-	53	5607
-	80	1566
-	133	108
-	47	8346
-	57	4502
-	38	16747
-	48	7753
-	63	3512
-	46	8866
-	64	3383
-	44	10403
-	87	1137
-	45	9548
-	81	1543
-	55	5144
-	85	1257
-	94	505
-	65	3011
-	100	402
-	106	299
-	92	551
-	41	13467
-	43	11328
-	56	4734
-	58	4411
-	77	1793
-	73	2213
-	36	19736
-	84	1326
-	40	14612
-	99	385
-	102	372
-	62	3674
-	52	6288
-	54	5352
-	69	2656
-	59	4168
-	72	2297
-	75	1944
-	66	2983
-	34	3137
-	68	2675
-	79	1626
-	111	271
-	90	584
-	89	1020
-	93	512
-	83	1321
-	78	1696
-	140	108
-	108	308
-	76	1912
-	124	190
-	95	518
-	71	2373
-	67	2770
-	116	224
-	101	367
-	98	415
-	110	284
-	97	441
-	103	381
-	105	346
-	132	126
-	119	188
-	121	206
-	127	150
-	91	541
-	109	296
-	118	198
-	114	239
-	86	1236
-	32	859
-	30	197
-	96	467
-	31	466
-	128	163
-	104	369
-	129	131
-	131	148
-	113	302
-	137	123
-	117	210
-	135	127
-	126	168
-	107	318
-	122	184
-	130	149
-	139	85
-	112	266
-	115	244
-	141	90
-	138	115
-	123	189
-	136	92
-	120	179
-	125	174
-	134	119
-	142	2
