pos	3pG>A
1	0.0111665221162186
2	0.00179171332586786
3	0.00277941548050198
4	0.00203070424823329
5	0.00176140912730184
6	0.00104881000403388
7	0.00163076130804223
8	0.0023078147381824
9	0.00208559272545257
10	0.00170164492342598
11	0.00129178104311319
12	0.00162311313098523
13	0.00105118460418857
14	0.000891049007695423
15	0.00145067698259188
16	0.00119789171058936
17	0.00140530710093412
18	0.00162074554294976
19	0.00154471544715447
20	0.00226959552565454
21	0.00106304685583449
22	0.00177133655394525
23	0.000728508984944148
24	0.000883250361329693
25	0.00162061421278665
