"","Position","C.T","G.A"
"1",1,0.989320247638635,0.72997233156954
"2",2,0.977512275667568,0.721022696501145
"3",3,0.957382916854371,0.67144867265385
"4",4,0.930942033737665,0.616902041995528
"5",5,0.905684206213295,0.577306249095719
"6",6,0.887423759121872,0.560781890167478
"7",7,0.876929654555191,0.553425766262543
"8",8,0.872713773988876,0.536832713508852
"9",9,0.871136390754179,0.524178331628295
"10",10,0.869501991685107,0.53074478862342
"11",11,0.867285236364078,0.551343328656391
"12",12,0.863575972724164,0.586758750183358
"13",-12,0.866942553389249,0.552601501372951
"14",-11,0.865373504414731,0.571819545944036
"15",-10,0.863335245619106,0.596038800803425
"16",-9,0.86284301003962,0.610750830139635
"17",-8,0.866501705701579,0.603680316231708
"18",-7,0.875243438245797,0.574227538330881
"19",-6,0.8878718803175,0.553851597334705
"20",-5,0.905983070658379,0.571220118326442
"21",-4,0.931005696749046,0.614938117674009
"22",-3,0.957119253122284,0.686265238050034
"23",-2,0.97685538108932,0.793458921005253
"24",-1,0.988526192832287,0.901544993205508
