"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.00466229230460406,0.0073984278395256,0.390141098873707,0.562202194937265,0.752284247790038,-1592.86821656332
"Std.",0.000132165442719882,0.000247506588977038,0.0153206531266793,0.0110753026125597,0.0260974804329911,1.57098389469364
"Acceptance ratio",0.1551,0.24814,0.23328,0.17932,0.2784,0.71034
"0%",0.00418304156180008,0.00637730646934847,0.336745804128972,0.525141365951797,0.660684961441887,-1603.76751246259
"2.5%",0.00440567828152566,0.00690945409111025,0.361220551328475,0.540613544781906,0.70148903414996,-1596.70136899634
"5%",0.00444543956126512,0.00698903502173119,0.365417274052113,0.543707889086834,0.709890182766921,-1595.87725578115
"7.5%",0.00446882972898939,0.00704501526240566,0.368652784307619,0.545854041179548,0.715026105545432,-1595.35084112699
"10%",0.00449291135086144,0.00708472207934302,0.370851914576001,0.547827029641793,0.719067299791784,-1594.96309309299
"12.5%",0.00451155372559782,0.00711830215661455,0.372773733990243,0.549184964878471,0.722393492091328,-1594.66405882192
"15%",0.00452694984072707,0.00714560284107424,0.374446730995658,0.550613144919443,0.72517305321582,-1594.42640079038
"17.5%",0.00453869541575867,0.0071709302545146,0.376104662627205,0.551679731328744,0.727860350450895,-1594.21035996565
"20%",0.0045517612762522,0.00719260481098565,0.377195118881913,0.552660988677044,0.730022440029283,-1594.02032549171
"22.5%",0.00456301603630079,0.00721222141201361,0.378339189840809,0.553629926918516,0.732101349971164,-1593.84610620224
"25%",0.0045734070344753,0.00723499735855588,0.379515343591843,0.55454596870589,0.734355638610008,-1593.67616949872
"27.5%",0.00458402941222778,0.0072549834726002,0.380578540798151,0.555549110517249,0.73644365066736,-1593.52737814587
"30%",0.0045936952697934,0.00727133791160303,0.381720389620734,0.556450137969258,0.73859607009979,-1593.39932795435
"32.5%",0.00460218604869348,0.00728687757236781,0.382818062135495,0.557314463083339,0.740069517086808,-1593.27577959775
"35%",0.00461104548161219,0.00730141621622807,0.38388092688121,0.558126730801953,0.741999381116254,-1593.1645347936
"37.5%",0.00461947538164856,0.00731816318926384,0.384865104201341,0.558936633265394,0.743809671402549,-1593.04972053067
"40%",0.00462818284449511,0.00733537794134903,0.385807768445763,0.559687806648301,0.745384201461693,-1592.94455295498
"42.5%",0.00463578404200148,0.00735155347798518,0.386781282455373,0.560447231864645,0.747216841245779,-1592.83426383333
"45%",0.00464330122168433,0.00736885803188628,0.387795850395393,0.561092381792974,0.749079142057528,-1592.73488302442
"47.5%",0.0046522802785268,0.00738468726676367,0.388733660965514,0.56171539702475,0.750619528908848,-1592.63091424066
"50%",0.00466147224250517,0.00739958496400894,0.38977553362283,0.562412558673129,0.752102424579093,-1592.54128071711
"52.5%",0.00466889217613935,0.00741507386497989,0.390895023498963,0.563027297189453,0.753722676944762,-1592.45487823995
"55%",0.00467648857730719,0.00742813902870375,0.391757883361495,0.563667299041942,0.75552815936998,-1592.36738557637
"57.5%",0.00468518897764033,0.00744370104493432,0.392716520385224,0.564311295107043,0.757112176441718,-1592.27995937657
"60%",0.00469455452725237,0.00746064247239504,0.393877500599171,0.565070018996134,0.758873483482032,-1592.19212519074
"62.5%",0.00470369563600637,0.00747607887966777,0.394702872601997,0.565882695902077,0.760829633953339,-1592.11297452454
"65%",0.00471231460092965,0.00749239167800029,0.395746287142345,0.566506106401443,0.762480471465502,-1592.02865127416
"67.5%",0.00472051471137046,0.00750967731140021,0.396715602244955,0.567316337155619,0.764473898521978,-1591.95384567562
"70%",0.00472976421594845,0.0075281305186683,0.397771730518482,0.568048656588976,0.765870476303059,-1591.87488346593
"72.5%",0.00473932049498095,0.00754539664150873,0.39897491679508,0.568776401781901,0.767641860512067,-1591.79518173416
"75%",0.00474789635586572,0.00756364130187907,0.399989837244016,0.569694196337164,0.769823105411574,-1591.71983068907
"77.5%",0.00475850363858297,0.0075817873252907,0.40117805666516,0.570555440754606,0.77177034573466,-1591.63651034339
"80%",0.00476715862141352,0.007602187465607,0.40254320474951,0.571357949966819,0.774016923620085,-1591.5498806986
"82.5%",0.00478215577876499,0.00762710413286245,0.404074331537224,0.57227960739666,0.776528421991055,-1591.46317687617
"85%",0.00479516426294507,0.00765453556360354,0.40574530990024,0.573488924259606,0.779187971710277,-1591.37311583716
"87.5%",0.00481126585778035,0.00768221241725209,0.407603085086155,0.574435084035282,0.782359071946067,-1591.28445937111
"90%",0.00483235410816676,0.007714470905316,0.410139992365352,0.575981412077395,0.78568397937012,-1591.18887665881
"92.5%",0.00485463490180055,0.00775260965558215,0.41283086792297,0.578167405538078,0.789491750625906,-1591.07610046131
"95%",0.00488422820013835,0.00780274142434275,0.416177619705375,0.580234034449455,0.794722609473735,-1590.9455211957
"97.5%",0.00493260635874064,0.00788209162431147,0.421631170734372,0.584076563939915,0.803943996134231,-1590.78249687181
"100%",0.00515395344756363,0.00858510705071787,0.460899920353491,0.607892752695997,0.848314085433768,-1590.41817641994
