# table produced by mapDamage version 2.2.1
# using mapped file results/bam_hg38/molar_L35.hg38.sorted.bam and /data/ref/hg38.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	49	714
+	72	274
+	39	1351
+	38	1515
+	35	1925
+	83	174
+	41	1208
+	75	184
+	65	333
+	55	499
+	68	282
+	70	293
+	84	164
+	36	1698
+	32	74
+	59	434
+	37	1664
+	44	917
+	31	40
+	63	357
+	58	478
+	42	1110
+	56	484
+	53	554
+	34	294
+	50	689
+	73	254
+	47	777
+	46	844
+	81	181
+	86	108
+	54	518
+	52	596
+	40	1313
+	48	754
+	45	884
+	71	238
+	60	340
+	61	439
+	74	214
+	43	1021
+	77	191
+	51	629
+	64	353
+	57	480
+	67	297
+	66	325
+	69	282
+	89	94
+	88	108
+	80	178
+	82	173
+	62	378
+	79	163
+	76	184
+	78	193
+	87	126
+	85	131
+	33	138
+	30	29
+	90	1
+	91	2
-	39	1383
-	41	1218
-	42	1153
-	36	1759
-	40	1319
-	60	406
-	80	184
-	66	310
-	48	746
-	38	1497
-	35	1874
-	43	1060
-	70	273
-	44	968
-	50	698
-	54	510
-	59	414
-	37	1581
-	56	494
-	45	878
-	83	164
-	71	292
-	62	393
-	55	482
-	57	468
-	87	118
-	77	186
-	69	302
-	76	205
-	53	542
-	47	777
-	81	172
-	64	328
-	49	671
-	52	582
-	68	284
-	61	416
-	85	171
-	51	633
-	63	394
-	74	236
-	34	305
-	73	241
-	65	343
-	32	89
-	58	453
-	46	844
-	78	196
-	75	222
-	79	186
-	30	25
-	86	141
-	88	116
-	84	166
-	82	173
-	67	259
-	33	178
-	89	87
-	72	254
-	31	52
-	90	2
-	92	1
