pos	3pG>A
1	0.00937023316626716
2	0.00187313319495773
3	0.00142142369797589
4	0.00153013825892125
5	0.00116785221361079
6	0.00172126297670916
7	0.00139429500958578
8	0.00135135135135135
9	0.00101861807481184
10	0.00125456826487754
11	0.00157617261807707
12	0.000809891474542411
13	0.00138607527454953
14	0.00091876992920067
15	0.000974658869395711
16	0.00113501243108853
17	0.00114647595130207
18	0.00116189000774593
19	0.0012691055564752
20	0.00093324549846289
21	0.00114267058439438
22	0.00108548168249661
23	0.00113043010173871
24	0.00150975951687695
25	0.00113660965576965
