pos	5pC>T
1	0.00375353417178512
2	0.00213725955829969
3	0.00214132762312634
4	0.00259154929577465
5	0.00211703398110954
6	0.001973276202289
7	0.00180091683038638
8	0.00184762525812412
9	0.00263692797890458
10	0.00253311520396855
11	0.00195085943266899
12	0.00201998724218584
13	0.00297860817763336
14	0.00183110728134425
15	0.00260855388294114
16	0.00236043256299061
17	0.00230086556371206
18	0.00173300839425941
19	0.00204973299530719
20	0.00218748332710879
21	0.00207756232686981
22	0.00229321102874513
23	0.00252892117298897
24	0.00210310612597066
25	0.00178668110449377
