"","Position","C.T","G.A"
"1",1,0.846495895000814,0.778562232150717
"2",2,0.689426930759265,0.530599697717459
"3",3,0.638313132302074,0.432474800493553
"4",4,0.631557988422982,0.40023498137126
"5",5,0.625501067592419,0.407088061576003
"6",6,0.610451306499952,0.439878848569033
"7",7,0.598214919711791,0.46309636525181
"8",8,0.597281094206927,0.464713684619887
"9",9,0.604444161331062,0.451554465631812
"10",10,0.609558862939419,0.441444616620471
"11",11,0.604558409672196,0.45133395306884
"12",12,0.594205522599012,0.470024977652142
"13",-12,0.620767628697217,0.41687468249043
"14",-11,0.605233963661266,0.450032870128072
"15",-10,0.600283033145132,0.459328707023271
"16",-9,0.601045970551148,0.457932928438396
"17",-8,0.598514379435485,0.46252730817688
"18",-7,0.593107763432584,0.471920715745565
"19",-6,0.588114004575296,0.480258247030877
"20",-5,0.592842867462845,0.473686051926954
"21",-4,0.603845330492936,0.461364317553932
"22",-3,0.613861457240251,0.483682236162094
"23",-2,0.644816320084621,0.605668166195767
"24",-1,0.781118948207561,0.845063008482147
