"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0039715935741614,0.0019171309814936,0.226175030509504,0.910578375870414,0.576828905674908,-1341.43581337807
"Std.",0.000104470761575743,0.000103394167279426,0.207171786548046,0.0508676145049254,0.0191188570579445,1.48704827351377
"Acceptance ratio",0.25002,0.1142,0.15588,0.14098,0.22016,0.62808
"0%",0.00345166812895344,0.00155584944272209,0.0435223512986102,0.725047870897254,0.513245015297652,-1354.00263334474
"2.5%",0.00376863123149428,0.00171571464138345,0.0618097973535461,0.808026321500246,0.540349365801372,-1345.04065674365
"5%",0.00380084999893398,0.00175077445272677,0.0666394817333541,0.822833994552154,0.54595478417466,-1344.21636959514
"7.5%",0.00382280862525458,0.00177047898197341,0.0706764289780249,0.831459279350472,0.549988600478394,-1343.76101631896
"10%",0.00384047118847541,0.00178293855958461,0.0749842925355143,0.839653073137241,0.552778582277673,-1343.40159809339
"12.5%",0.00385336790332158,0.00179766415689605,0.0780048962188895,0.84637446959097,0.554941539719281,-1343.12907236209
"15%",0.0038640119977749,0.00181166694732648,0.0814857510768669,0.852847047427098,0.557164834757282,-1342.88323916692
"17.5%",0.0038742116335763,0.00182153215381956,0.0844863504740737,0.857999600404801,0.558986496635342,-1342.67107085832
"20%",0.00388393035943428,0.00183114746145743,0.0887429563572258,0.863557516965047,0.560620421193384,-1342.49311959582
"22.5%",0.00389167209357496,0.00184062402519598,0.0919245508144998,0.869149957100224,0.562315236629503,-1342.3239379832
"25%",0.00390051549386904,0.0018485197274519,0.0953241693434012,0.873157230049479,0.563637779511476,-1342.1774056622
"27.5%",0.00390951735489275,0.00185583440132649,0.0986819213407545,0.877461757409965,0.565297229411892,-1342.03628971219
"30%",0.00391696987045058,0.00186230141459254,0.102632532287762,0.881796607829464,0.566889566364641,-1341.91698713728
"32.5%",0.00392443252016058,0.00187018008135536,0.10756454600463,0.886467278212305,0.56814763373286,-1341.80640734797
"35%",0.00393117090298119,0.00187717477346246,0.111838987549151,0.890638398641248,0.569446637812291,-1341.6980481387
"37.5%",0.00393895313605612,0.00188312129531064,0.116208002505333,0.895152355574962,0.570673802175103,-1341.6009898167
"40%",0.00394564001047322,0.00188929378887139,0.120417917948347,0.898936866458824,0.571954756331569,-1341.50786643871
"42.5%",0.00395223440965839,0.00189574646734315,0.125762769637654,0.903239987845895,0.573139292264521,-1341.41017458099
"45%",0.00395777717077719,0.00190243258237863,0.130611243746418,0.907272663316439,0.574220842233241,-1341.31933421287
"47.5%",0.00396378076082411,0.00190798242288204,0.135280988450845,0.910613637580516,0.575286179816476,-1341.23309737383
"50%",0.00396984244493275,0.00191586801981539,0.140376075954927,0.914218164470406,0.57659601809842,-1341.14642161291
"52.5%",0.00397629616363075,0.00192209229198448,0.146683315620834,0.917984299482473,0.577764650588862,-1341.06351861382
"55%",0.00398364338578629,0.00192898365130827,0.15324886379678,0.921480881220018,0.578793052498286,-1340.97981878298
"57.5%",0.00399004253335449,0.00193690560070291,0.160934130960538,0.924769357552204,0.579910201764094,-1340.9049954063
"60%",0.00399659559265121,0.00194273103416148,0.168732694481679,0.92849105457801,0.581025269572879,-1340.82874481987
"62.5%",0.00400334002023835,0.00194924453021907,0.178340891220151,0.931843816797616,0.582363497291882,-1340.75257964117
"65%",0.00400991951511578,0.00195542836473734,0.188748997122143,0.935689841508503,0.583695290094002,-1340.67073304634
"67.5%",0.00401708709118013,0.00196176681486018,0.200329933080449,0.939792178404647,0.584878008080048,-1340.59443858808
"70%",0.00402487716073821,0.0019688446018737,0.216237421695726,0.943258683894887,0.586402304316932,-1340.51751714591
"72.5%",0.00403284380599936,0.00197818408941854,0.23304691726887,0.948557008835841,0.587876809174614,-1340.43505246712
"75%",0.00404055276572466,0.00198678816272151,0.255048597113727,0.952142374841271,0.589250282552679,-1340.35019406535
"77.5%",0.00405019211587903,0.00199393687975478,0.281730761723526,0.957160071512814,0.590753698175355,-1340.2674410251
"80%",0.00405942179520052,0.00200364226293135,0.312616973651251,0.96216497656631,0.592271415130961,-1340.19015375506
"82.5%",0.00406961691782981,0.00201277180447283,0.359777214814583,0.967128385262984,0.593872804130881,-1340.10833855554
"85%",0.00408159195150852,0.0020234399184254,0.42024449311684,0.971736636913388,0.596001241050657,-1340.02194214633
"87.5%",0.00409273330784802,0.00203439399404176,0.488719521784472,0.975522863167781,0.598456974890512,-1339.93950157467
"90%",0.00410665379398112,0.00204805155989675,0.560411399868402,0.978656326052166,0.601168207135567,-1339.84753154187
"92.5%",0.00412366703761954,0.00206528516516785,0.636789591558109,0.981525792181094,0.604824830964361,-1339.73814093928
"95%",0.00414437424252783,0.00208703281793684,0.730507375657561,0.983639027634065,0.608746693733242,-1339.61148350544
"97.5%",0.00417973776556218,0.00211977044243854,0.850128421797117,0.986479370534856,0.616351515415162,-1339.46911227911
"100%",0.00437019724555349,0.00233718180983863,0.999554978187246,0.989725999619879,0.665379060605926,-1339.07958540576
