# table produced by mapDamage version 2.2.1
# using mapped file results/bam_hg38/scapula.hg38.sorted.bam and /data/ref/hg38.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	57	632
+	52	763
+	91	318
+	51	804
+	89	305
+	38	840
+	64	600
+	83	384
+	131	147
+	71	502
+	94	340
+	45	751
+	49	824
+	36	804
+	66	546
+	95	319
+	65	518
+	75	469
+	110	198
+	96	257
+	73	511
+	44	740
+	40	923
+	54	682
+	127	215
+	90	317
+	41	932
+	100	245
+	35	777
+	80	403
+	133	180
+	85	380
+	77	414
+	37	790
+	47	765
+	42	885
+	130	158
+	117	202
+	61	624
+	48	772
+	53	747
+	39	888
+	55	681
+	79	409
+	58	612
+	111	225
+	104	253
+	105	253
+	123	219
+	140	152
+	112	233
+	74	420
+	124	213
+	121	179
+	69	483
+	108	201
+	81	388
+	59	680
+	43	838
+	101	253
+	103	253
+	86	329
+	34	124
+	87	325
+	137	221
+	109	203
+	70	509
+	62	638
+	135	237
+	102	284
+	67	555
+	98	255
+	125	227
+	92	341
+	60	656
+	139	188
+	50	790
+	115	220
+	46	742
+	106	235
+	68	483
+	134	195
+	72	527
+	136	250
+	128	168
+	99	282
+	76	439
+	113	249
+	82	392
+	138	217
+	132	139
+	118	185
+	126	225
+	63	635
+	84	365
+	97	259
+	56	628
+	93	297
+	122	187
+	107	244
+	114	228
+	120	202
+	119	169
+	32	35
+	88	346
+	141	129
+	31	20
+	129	164
+	116	203
+	33	67
+	78	402
+	143	1
+	30	13
+	142	3
-	46	751
-	49	768
-	42	921
-	51	772
-	101	262
-	82	374
-	36	850
-	48	749
-	81	364
-	45	785
-	73	509
-	72	500
-	56	631
-	40	917
-	88	308
-	76	458
-	78	432
-	68	509
-	41	930
-	65	546
-	110	198
-	100	243
-	85	398
-	52	739
-	47	719
-	89	299
-	63	622
-	39	818
-	59	621
-	92	330
-	83	428
-	69	514
-	96	288
-	37	843
-	66	567
-	54	702
-	67	490
-	75	406
-	124	242
-	74	436
-	43	837
-	121	189
-	93	310
-	119	173
-	71	492
-	91	305
-	50	769
-	87	294
-	128	151
-	98	268
-	99	237
-	70	510
-	44	743
-	62	608
-	107	213
-	61	651
-	77	419
-	139	186
-	86	343
-	38	812
-	90	296
-	35	853
-	109	196
-	60	670
-	116	211
-	125	244
-	131	189
-	103	258
-	134	187
-	106	248
-	53	710
-	105	256
-	104	256
-	84	389
-	80	404
-	64	587
-	34	166
-	79	383
-	138	201
-	58	626
-	127	190
-	136	241
-	108	186
-	122	172
-	102	216
-	111	200
-	123	210
-	114	217
-	115	226
-	120	165
-	140	155
-	55	593
-	57	580
-	137	232
-	129	162
-	117	218
-	94	370
-	33	70
-	118	179
-	132	162
-	30	15
-	113	239
-	97	253
-	95	299
-	130	153
-	112	216
-	32	25
-	135	212
-	133	188
-	141	161
-	126	216
-	31	28
-	142	1
